,title,description,publishedAt
11,"Stay inside this Halloween with your household, doctors say - CNN","With the threat of Covid-19, trick-or-treating is not safe this year and kids should be kept home, tthree professors from the Northwestern University Feinberg School of Medicine warned on Wednesday. ",2020-10-29
12,Why LGBTQ families like mine are scared and scrambling (opinion)  - CNN,"Allison Hope describes the fears LGBTQ families like hers are facing -- with a Supreme Court perceived as hostile to their legal rights and other troubling signs on the horizon, many are rushing to marry, finalize adoptions and take other steps to make sure their families are protected. ",2020-10-29
13,Virginia governor praises ruling on removing Robert E. Lee statue - CNNPolitics,"Virginia Gov. Ralph Northam on Wednesday praised a ruling this week that affirmed his power to remove the statue of Confederate Gen. Robert E. Lee on Richmond's Monument Avenue, saying the decision brings the city ""into the 21st century.""",2020-10-29
14,"Stay inside this Halloween with your household, doctors say - CNN","With the threat of Covid-19, trick-or-treating is not safe this year and kids should be kept home, tthree professors from the Northwestern University Feinberg School of Medicine warned on Wednesday. ",2020-10-29
15,Vermont secretary of state formally asks Kavanaugh to correct opinion - CNNPolitics,Vermont's secretary of state formally asked Supreme Court Justice Brett Kavanaugh to correct an opinion he wrote Monday that mistakenly said Vermont had made no changes to its election rules due to the Covid-19 pandemic.,2020-10-29
16,Early voting: More than a third of registered voters have already voted - CNNPolitics,"More than a third of registered voters -- 74 million Americans -- have already voted with six days left until Election Day, an unprecedented shift driven by the coronavirus pandemic and interest in the presidential race.",2020-10-29
17,Why LGBTQ families like mine are scared and scrambling (opinion)  - CNN,"Allison Hope describes the fears LGBTQ families like hers are facing -- with a Supreme Court perceived as hostile to their legal rights and other troubling signs on the horizon, many are rushing to marry, finalize adoptions and take other steps to make sure their families are protected. ",2020-10-29
18,Former Trump campaign official: I believed Trump's con - CNN Video,"Former Trump campaign official Jessica Denson is now backing former Vice President Joe Biden for president, calling the Trump campaign a ""vile, self-serving branding exercise"" for Trump and his family. ",2020-10-29
19,Why LGBTQ families like mine are scared and scrambling (opinion)  - CNN,"Allison Hope describes the fears LGBTQ families like hers are facing -- with a Supreme Court perceived as hostile to their legal rights and other troubling signs on the horizon, many are rushing to marry, finalize adoptions and take other steps to make sure their families are protected. ",2020-10-29
20,Facebook fact-checkers receiving threats during the election - CNN Video,Facebook has hired a network of fact-checkers across America. CNN talks to two who have received  threats for simply doing their jobs during the 2020 election cycle. ,2020-10-29
21,Hear which issues are influencing voter decisions for the 2020 US election - CNN Video,CNN's Alisyn Camerota speaks to a panel of voters who weigh in on which issues are influencing their voting decisions for the 2020 US election. ,2020-10-29
22,Kelly Loeffler: Georgia senator says she is 'not familiar' with Access Hollywood tape - CNNPolitics,"Republican Sen. Kelly Loeffler of Georgia said Wednesday she is ""not familiar"" with President Donald Trump's widely reported comments boasting about sexually assaulting women that came to light during the 2016 campaign.",2020-10-29
23,"Biden if elected will form task force to reunite 545 separated immigrant children with family, campaign says - CNNPolitics","Joe Biden is pledging that if he's elected president, he will sign an executive order to form a task force that will focus on reuniting the 545 immigrant children who've been separated from their families. ",2020-10-29
24,Jeremy Corbyn: UK's Labour Party suspends former leader after anti-Semitism report - CNN,"Britain's main opposition Labour party has suspended its former leader Jeremy Corbyn, in a stunning development that followed the release of a damning report by the UK's human rights watchdog.",2020-10-29
25,Jeremy Corbyn: UK's Labour Party suspends former leader after anti-Semitism report - CNN,"Britain's main opposition Labour party has suspended its former leader Jeremy Corbyn, in a stunning development that followed the release of a damning report by the UK's human rights watchdog.",2020-10-29
26,Kelly Loeffler: Georgia senator says she is 'not familiar' with Access Hollywood tape - CNNPolitics,"Republican Sen. Kelly Loeffler of Georgia said Wednesday she is ""not familiar"" with President Donald Trump's widely reported comments boasting about sexually assaulting women that came to light during the 2016 campaign.",2020-10-29
27,Louisiana was recovering from several other storms when Zeta struck - CNN,"Hurricane Zeta slammed into Louisiana Wednesday as a Category 2 storm, becoming the fifth named storm to make landfall in the state this hurricane season -- the most ever for the Pelican State.",2020-10-29
28,Scott Morrison calls invasive body examination at Doha airport 'unacceptable' - CNN Video,Australian Prime Minister Scott Morrison responded to an incident at Doha Airport where more than 18 women were subjected to compulsory intimate medical exams after a newborn was found abandoned in a trash can. CNN's Kristie Lu Stout reports. ,2020-10-29
29,"North Carolina can count votes received 9 days after Election Day, Supreme Court rules - CNNPolitics","The Supreme Court allowed the counting of ballots in North Carolina received up to nine days after the election as long as the ballots are postmarked by Election Day, a victory for Democrats in another key state.",2020-10-29
30,Breonna Taylor's mother asks for independent prosecutor to present case to a new grand jury - CNN,"Breonna Taylor's mother is asking the Kentucky Prosecutors Advisory Council to appoint an independent prosecutor to present the case of her daughter's death before a new grand jury, saying the state attorney general's handling of the case ""undermines the trust and integrity of the entire process.""",2020-10-29
31,Ex-Trump campaign aide: the President's reelection bid is working against 'free speech and democracy' - CNNPolitics,"A former Trump campaign official excoriated President Donald Trump's reelection bid Wednesday, insisting that his team has ""worked very much against free speech and democracy.""",2020-10-29
32,"Former Trump campaign official: Father forgive me, I believed his con - CNN Video","Former Trump campaign official Jessica Denson is now backing former Vice President Joe Biden for president, calling the Trump campaign a ""vile, self-serving branding exercise"" for Trump and his family. ",2020-10-29
33,"North Carolina can count votes received 9 days after Election Day, Supreme Court rules - CNNPolitics","The Supreme Court allowed the counting of ballots in North Carolina received up to nine days after the election as long as the ballots are postmarked by Election Day, a victory for Democrats in another key state.",2020-10-29
34,Breonna Taylor's mother asks for independent prosecutor to present case to a new grand jury - CNN,"Breonna Taylor's mother is asking the Kentucky Prosecutors Advisory Council to appoint an independent prosecutor to present the case of her daughter's death before a new grand jury, saying the state attorney general's handling of the case ""undermines the trust and integrity of the entire process.""",2020-10-29
35,READ: Supreme Court orders in North Carolina and Pennsylvania voting cases - CNNPolitics,"The Supreme Court issued two critical orders regarding how long states can count mail-in ballots received after Election Day, refusing to expedite a case to examine Pennsylvania's three-day deadline and allowing a nine day deadline in North Carolina.",2020-10-29
36,Ex-Trump campaign aide: the President's reelection bid is working against 'free speech and democracy' - CNNPolitics,"A former Trump campaign official excoriated President Donald Trump's reelection bid Wednesday, insisting that his team has ""worked very much against free speech and democracy.""",2020-10-29
37,READ: Supreme Court orders in North Carolina and Pennsylvania voting cases - CNNPolitics,"The Supreme Court issued two critical orders regarding how long states can count mail-in ballots received after Election Day, refusing to expedite a case to examine Pennsylvania's three-day deadline and allowing a nine day deadline in North Carolina.",2020-10-29
38,Proclamation Duo review: This cookware set truly does it all | CNN Underscored,"It's a frying pan. It's a stockpot. It's a wok. It's a Dutch oven. The Proclamation Duo consists of two pans and a lid, and despite the endless claims by other new-age cookware, this is actually the kitchen set that can do it all.",2020-10-29
39,What Europe fears most about the US election (opinion) - CNN,"Europe, but particularly France and Germany, recognize that the future of the trans-Atlantic relationship, the very nature of the Atlantic alliance, could depend on the outcome of the US presidential election, writes David Andelman.",2020-10-29
40,This one tweak to our voting system could change everything (opinion)  - CNN,Ranked-choice voting already exists in Maine and some large cities and is on the ballot in Massachusetts and Alaska. Lee Drutman and Anne-Marie Slaughter argue that widely adopting this small tweak to existing rules could help heal American politics.,2020-10-29
41,Proclamation Duo review: This cookware set truly does it all | CNN Underscored,"It's a frying pan. It's a stockpot. It's a wok. It's a Dutch oven. The Proclamation Duo consists of two pans and a lid, and despite the endless claims by other new-age cookware, this is actually the kitchen set that can do it all.",2020-10-29
42,Top Democrat says Trump administration moving ahead with sale of F-35 jets to the UAE - CNNPolitics,The chairman of the House Foreign Affairs Committee said Thursday that the Trump administration has informally notified Congress of its intent to move forward with a major arms sale to the United Arab Emirates involving advanced F-35 jets.,2020-10-29
43,Warren Buffett has yet to endorse a presidential candidate - CNN,Warren Buffett has been surprisingly quiet about the presidential election. ,2020-10-29
44,Harry Styles sounds like an ideal housesitter - CNN,Only in 2020 would your favorite musician hang out at your house but you're not there to experience it.,2020-10-29
45,What Europe fears most about the US election (opinion) - CNN,"Europe, but particularly France and Germany, recognize that the future of the trans-Atlantic relationship, the very nature of the Atlantic alliance, could depend on the outcome of the US presidential election, writes David Andelman.",2020-10-29
46,This one tweak to our voting system could change everything (opinion)  - CNN,Ranked-choice voting already exists in Maine and some large cities and is on the ballot in Massachusetts and Alaska. Lee Drutman and Anne-Marie Slaughter argue that widely adopting this small tweak to existing rules could help heal American politics.,2020-10-29
47,Proclamation Duo review: This cookware set truly does it all | CNN Underscored,"It's a frying pan. It's a stockpot. It's a wok. It's a Dutch oven. The Proclamation Duo consists of two pans and a lid, and despite the endless claims by other new-age cookware, this is actually the kitchen set that can do it all.",2020-10-29
48,What Europe fears most about the US election (opinion) - CNN,"Europe, but particularly France and Germany, recognize that the future of the trans-Atlantic relationship, the very nature of the Atlantic alliance, could depend on the outcome of the US presidential election, writes David Andelman.",2020-10-29
49,This one tweak to our voting system could change everything (opinion)  - CNN,Ranked-choice voting already exists in Maine and some large cities and is on the ballot in Massachusetts and Alaska. Lee Drutman and Anne-Marie Slaughter argue that widely adopting this small tweak to existing rules could help heal American politics.,2020-10-29
50,Top Democrat says Trump administration moving ahead with sale of F-35 jets to the UAE - CNNPolitics,The chairman of the House Foreign Affairs Committee said Thursday that the Trump administration has informally notified Congress of its intent to move forward with a major arms sale to the United Arab Emirates involving advanced F-35 jets.,2020-10-29
51,'Wives of the Deplorables' talk hubbies + politics - CNN Video,"Married to Trump supporters and Republicans, these women confide in each other on a private Facebook page called ""Wives of the Deplorables.""",2020-10-29
52,Georgia Senate race: Jon Ossoff and David Perdue trade personal attacks during heated debate - CNNPolitics,"Georgia Republican Sen. David Perdue and his Democratic opponent Jon Ossoff traded barbs in unusually personal terms during their debate Wednesday night, with Ossoff labeling Perdue a ""crook"" and Perdue accusing Ossoff of profiting off China.",2020-10-29
53,"What 1932, 1980 and 1992 can tell us about 2020 (Opinion) - CNN","Thomas Balcerski takes a look at the one term presidencies of Herbert Hoover, Jimmy Carter and George H.W. Bush and writes that each of the failed incumbents demonstrated a fatal character flaw during their reelection campaigns that didn't sit well with voters. Taken together, these embattled incumbents still provide a recipe for electoral disaster in American politics.",2020-10-29
54,Donald Trump has run a historically bad re-election campaign (opinion)  - CNN,"For a president whose 'brand is winning,' Trump has stood up a campaign rife with avoidable errors, mismanagement and squandered opportunities, write Demcratic consultants Arick Wierson and Bradley Honan.",2020-10-29
55,Sen. Susan Collins on systemic racism: I do not believe it's a problem in Maine - CNN Video,"Sen. Susan Collins (R-ME), who is defending her seat in a competitive reelection fight against Democrat Sara Gideon, said during a debate that she does not think that systemic racism is a problem in the state of Maine. CNN's Abby Phillip weighs in. ",2020-10-29
56,'Wives of the Deplorables' talk hubbies + politics - CNN Video,"Married to Trump supporters and Republicans, these women confide in each other on a private Facebook page called ""Wives of the Deplorables.""",2020-10-29
57,"What 1932, 1980 and 1992 can tell us about 2020 (Opinion) - CNN","Thomas Balcerski takes a look at the one term presidencies of Herbert Hoover, Jimmy Carter and George H.W. Bush and writes that each of the failed incumbents demonstrated a fatal character flaw during their reelection campaigns that didn't sit well with voters. Taken together, these embattled incumbents still provide a recipe for electoral disaster in American politics.",2020-10-29
58,Early voting: Supreme Court moves in Pennsylvania and North Carolina set up potential post-election court fight over mail-in ballots - CNNPolitics,"The Supreme Court on Wednesday allowed Pennsylvania and North Carolina to count ballots received after Election Day, victories for Democrats who have been pushing for states to allow additional time due to the vast number of mail-in votes cast during the coronavirus pandemic.",2020-10-29
59,Hear which issues are influencing voter decisions for the 2020 US election - CNN Video,CNN's Alisyn Camerota speaks to a panel of voters who weigh in on which issues are influencing their voting decisions for the 2020 US election. ,2020-10-29
60,"Biden if elected will form task force to reunite 545 separated immigrant children with family, campaign says - CNNPolitics","Joe Biden is pledging that if he's elected president, he will sign an executive order to form a task force that will focus on reuniting the 545 immigrant children who've been separated from their families. ",2020-10-29
61,We asked how the pandemic changed your money habits. Here's what you said - CNN,The pandemic has changed how many of us use our money. ,2020-10-29
62,Labour Party suspends Jeremy Corbyn after anti-Semitism report - CNN,"Britain's main opposition Labour party has suspended its former leader Jeremy Corbyn, in a stunning development that followed the release of a damning report by the UK's human rights watchdog.",2020-10-29
63,"Biden if elected will form task force to reunite 545 separated immigrant children with family, campaign says - CNNPolitics","Joe Biden is pledging that if he's elected president, he will sign an executive order to form a task force that will focus on reuniting the 545 immigrant children who've been separated from their families. ",2020-10-29
64,Kelly Loeffler: Georgia senator says she is 'not familiar' with Access Hollywood tape - CNNPolitics,"Republican Sen. Kelly Loeffler of Georgia said Wednesday she is ""not familiar"" with President Donald Trump's widely reported comments boasting about sexually assaulting women that came to light during the 2016 campaign.",2020-10-29
65,Louisiana was recovering from several other storms when Zeta struck - CNN,"Hurricane Zeta slammed into Louisiana Wednesday as a Category 2 storm, becoming the fifth named storm to make landfall in the state this hurricane season -- the most ever for the Pelican State.",2020-10-29
66,"""We will not give in,"" Macron says after visiting scene of attack","French President Emmanuel Macron said the country will not give in to terrorism after once again coming under attack from what he called “Islamist and terrorist madness.""",2020-10-29
67,"KIND Snacks founder: Moderates, this election is up to us (opinion) - CNN","Daniel Lubetzky writes that while Trump makes his appeals to a nativist base, former Vice President Joe Biden has a long history of serving Americans on both sides of the aisle. And now it is up to moderates to listen to reason and fact, and decide which candidate to support. ",2020-10-29
68,These Senate and House races have become more competitive for Democrats in final sprint to Election Day - CNNPolitics,Joe Biden's lead in national and state polls has Democrats well-positioned to have a good night up and down the ballot next week. ,2020-10-29
69,Georgia Senate race: Jon Ossoff and David Perdue trade personal attacks during heated debate - CNNPolitics,"Georgia Republican Sen. David Perdue and his Democratic opponent Jon Ossoff traded barbs in unusually personal terms during their debate Wednesday night, with Ossoff labeling Perdue a ""crook"" and Perdue accusing Ossoff of profiting off China.",2020-10-29
70,These are the big words associated with Trump and Biden as the 2020 campaign closes - CNNPolitics,"In the final days of the presidential campaign, Americans have the coronavirus and the final presidential debate on their minds when asked what they have seen, read or heard about President Donald Trump and former Vice President Joe Biden. ",2020-10-29
71,The rules of talking politics at work - CNN,"With Election Day right around the corner, emotions are running high and people are fired up. ",2020-10-29
72,These Senate and House races have become more competitive for Democrats in final sprint to Election Day - CNNPolitics,Joe Biden's lead in national and state polls has Democrats well-positioned to have a good night up and down the ballot next week. ,2020-10-29
73,Georgia Senate race: Jon Ossoff and David Perdue trade personal attacks during heated debate - CNNPolitics,"Georgia Republican Sen. David Perdue and his Democratic opponent Jon Ossoff traded barbs in unusually personal terms during their debate Wednesday night, with Ossoff labeling Perdue a ""crook"" and Perdue accusing Ossoff of profiting off China.",2020-10-29
74,Vote the whole ballot. The next decade depends on it (Opinion) - CNN,"Gaby Goldstein and David Daley write that since every state legislative district and congressional district will be redrawn next year based on the 2020 census, it's important to vote the whole ballot. They point to Virginia as an example of hope, with its redrawn districts, and Wisconsin as a cautionary tale of gerrymandering working against the voice of the majority.",2020-10-29
75,Susan Collins: Maine Republican senator says 'I do not believe systemic racism is a problem in the state' - CNNPolitics,"Sen. Susan Collins, a Maine Republican defending her seat in a competitive reelection fight, said during a debate on Wednesday that she does not think that systemic racism is a problem in the state.",2020-10-29
76,"KIND Snacks founder: Moderates, this election is up to us (opinion) - CNN","Daniel Lubetzky writes that while Trump makes his appeals to a nativist base, former Vice President Joe Biden has a long history of serving Americans on both sides of the aisle. And now it is up to moderates to listen to reason and fact, and decide which candidate to support. ",2020-10-29
77,"""We will not give in,"" Macron says after visiting scene of attack","French President Emmanuel Macron said the country will not give in to terrorism after once again coming under attack from what he called “Islamist and terrorist madness.""",2020-10-29
78,These Senate and House races have become more competitive for Democrats in final sprint to Election Day - CNNPolitics,Joe Biden's lead in national and state polls has Democrats well-positioned to have a good night up and down the ballot next week. ,2020-10-29
79,Georgia Senate race: Jon Ossoff and David Perdue trade personal attacks during heated debate - CNNPolitics,"Georgia Republican Sen. David Perdue and his Democratic opponent Jon Ossoff traded barbs in unusually personal terms during their debate Wednesday night, with Ossoff labeling Perdue a ""crook"" and Perdue accusing Ossoff of profiting off China.",2020-10-29
80,Vote the whole ballot. The next decade depends on it (Opinion) - CNN,"Gaby Goldstein and David Daley write that since every state legislative district and congressional district will be redrawn next year based on the 2020 census, it's important to vote the whole ballot. They point to Virginia as an example of hope, with its redrawn districts, and Wisconsin as a cautionary tale of gerrymandering working against the voice of the majority.",2020-10-29
81,These are the big words associated with Trump and Biden as the 2020 campaign closes - CNNPolitics,"In the final days of the presidential campaign, Americans have the coronavirus and the final presidential debate on their minds when asked what they have seen, read or heard about President Donald Trump and former Vice President Joe Biden. ",2020-10-29
82,These Senate and House races have become more competitive for Democrats in final sprint to Election Day - CNNPolitics,Joe Biden's lead in national and state polls has Democrats well-positioned to have a good night up and down the ballot next week. ,2020-10-29
83,Georgia Senate race: Jon Ossoff and David Perdue trade personal attacks during heated debate - CNNPolitics,"Georgia Republican Sen. David Perdue and his Democratic opponent Jon Ossoff traded barbs in unusually personal terms during their debate Wednesday night, with Ossoff labeling Perdue a ""crook"" and Perdue accusing Ossoff of profiting off China.",2020-10-29
84,Susan Collins: Maine Republican senator says 'I do not believe systemic racism is a problem in the state' - CNNPolitics,"Sen. Susan Collins, a Maine Republican defending her seat in a competitive reelection fight, said during a debate on Wednesday that she does not think that systemic racism is a problem in the state.",2020-10-29
85,Kelly Loeffler: Georgia senator says she is 'not familiar' with Access Hollywood tape - CNNPolitics,"Republican Sen. Kelly Loeffler of Georgia said Wednesday she is ""not familiar"" with President Donald Trump's widely reported comments boasting about sexually assaulting women that came to light during the 2016 campaign.",2020-10-29
86,Facebook fact-checkers receiving threats during the election - CNN Video,Facebook has hired a network of fact-checkers across America. CNN talks to two who have received  threats for simply doing their jobs during the 2020 election cycle. ,2020-10-29
87,"How do we cope with Halloween, a full moon, time change all just before the election - CNN","Daylight saving time, a full moon and Halloween will all fall on Saturday night, three days before Election Day. It could all be hocus-pocus, but acknowledging the supernatural during a time of rapid change could help us feel a sense of order.",2020-10-29
88,Vote the whole ballot. The next decade depends on it (Opinion) - CNN,"Gaby Goldstein and David Daley write that since every state legislative district and congressional district will be redrawn next year based on the 2020 census, it's important to vote the whole ballot. The point to Virginia is an example of hope, with its redrawn districts,  and Wisconsin as a cautionary tale of gerrymandering working against the voice of the majority.",2020-10-29
89,Susan Collins: Maine Republican senator says 'I do not believe systemic racism is a problem in the state' - CNNPolitics,"Sen. Susan Collins, a Maine Republican defending her seat in a competitive reelection fight, said during a debate on Wednesday that she does not think that systemic racism is a problem in the state.",2020-10-29
90,These are the big words associated with Trump and Biden as the 2020 campaign closes - CNNPolitics,"In the final days of the presidential campaign, Americans have the coronavirus and the final presidential debate on their minds when asked what they have seen, read or heard about President Donald Trump and former Vice President Joe Biden. ",2020-10-29
91,The rules of talking politics at work - CNN,"With Election Day right around the corner, emotions are running high and people are fired up. ",2020-10-29
92,The rules of talking politics at work - CNN,"With Election Day right around the corner, emotions are running high and people are fired up. ",2020-10-29
93,Susan Collins: Maine Republican senator says 'I do not believe systemic racism is a problem in the state' - CNNPolitics,"Sen. Susan Collins, a Maine Republican defending her seat in a competitive reelection fight, said during a debate on Wednesday that she does not think that systemic racism is a problem in the state.",2020-10-29
94,Harry Styles sounds like an ideal housesitter - CNN,Only in 2020 would your favorite musician hang out at your house but you're not there to experience it.,2020-10-29
95,Warren Buffett has yet to endorse a presidential candidate - CNN,Warren Buffett has been surprisingly quiet about the presidential election. ,2020-10-29
96,Top Democrat says Trump administration moving ahead with sale of F-35 jets to the UAE - CNNPolitics,The chairman of the House Foreign Affairs Committee said Thursday that the Trump administration has informally notified Congress of its intent to move forward with a major arms sale to the United Arab Emirates involving advanced F-35 jets.,2020-10-29
97,Race to 270: How Latino voters could sway the 2020 US presidential election - CNN Video,CNN's John King takes a closer look at the 2020 US election trajectory by breaking down the way President Donald Trump and Democratic presidential nominee Joe Biden are performing in the polls. ,2020-10-29
98,"Mask-wearing at polls can't be enforced in Texas for now, appeals court rules","The 5th US Circuit Court of Appeals on Wednesday night reinstated rules issued by Gov. Greg Abbott allowing voters and poll workers to forego masks at voting sites. The appeals court ruling means that as of now, mask-wearing at the polls cannot be enforced in Texas.",2020-10-29
99,Harry Styles sounds like an ideal housesitter - CNN,Only in 2020 would your favorite musician hang out at your house but you're not there to experience it.,2020-10-29
100,"KIND Snacks founder: Moderates, this election is up to us (opinion) - CNN","Daniel Lubetzky writes that while Trump makes his appeals to a nativist base, former Vice President Joe Biden has a long history of serving Americans on both sides of the aisle. And now it is up to moderates to listen to reason and fact, and decide which candidate to support. ",2020-10-29
101,Deborah Birx cedes White House turf to Scott Atlas while hitting the road to spread her public health gospel - CNNPolitics,Dr. Deborah Birx emerged from a meeting at the White House one day in late summer with a new resolution: Never again would she sit in a meeting with Dr. Scott Atlas and listen to him pontificate on the pandemic. ,2020-10-29
102,Homeland Security officials echo Trump's campaign border wall rhetoric days before election - CNNPolitics,"Acting Homeland Security Secretary Chad Wolf, flanked by several senior department officials, hyped the administration's efforts to construct hundreds of miles of wall along the US-Mexico border while lavishing praise on President Donald Trump less than a week before Election Day. ",2020-10-29
103,Pelosi says she hopes for stimulus deal in lame duck  - CNNPolitics,"House Speaker Nancy Pelosi is eying the congressional lame duck session after the election as a chance for lawmakers to pass a new coronavirus relief package, even as talks for another round of aid have faltered in recent days.",2020-10-29
104,Harry Styles sounds like an ideal housesitter - CNN,Only in 2020 would your favorite musician hang out at your house but you're not there to experience it.,2020-10-29
105,Homeland Security officials echo Trump's campaign border wall rhetoric days before election - CNNPolitics,"Acting Homeland Security Secretary Chad Wolf, flanked by several senior department officials, hyped the administration's efforts to construct hundreds of miles of wall along the US-Mexico border while lavishing praise on President Donald Trump less than a week before Election Day. ",2020-10-29
106,Donald Trump has run a historically bad re-election campaign (opinion)  - CNN,"For a president whose 'brand is winning,' Trump has stood up a campaign rife with avoidable errors, mismanagement and squandered opportunities, write Demcratic consultants Arick Wierson and Bradley Honan.",2020-10-29
107,Pelosi says she hopes for stimulus deal in lame duck  - CNNPolitics,"House Speaker Nancy Pelosi is eying the congressional lame duck session after the election as a chance for lawmakers to pass a new coronavirus relief package, even as talks for another round of aid have faltered in recent days.",2020-10-29
108,"What 1932, 1980 and 1992 can tell us about 2020 (Opinion) - CNN","Thomas Balcerski takes a look at the one term presidencies of Herbert Hoover, Jimmy Carter and George H.W. Bush and writes that each of the failed incumbents demonstrated a fatal character flaw during their reelection campaigns that didn't sit well with voters. Taken together, these embattled incumbents still provide a recipe for electoral disaster in American politics.",2020-10-29
109,Deborah Birx cedes White House turf to Scott Atlas while hitting the road to spread her public health gospel - CNNPolitics,Dr. Deborah Birx emerged from a meeting at the White House one day in late summer with a new resolution: Never again would she sit in a meeting with Dr. Scott Atlas and listen to him pontificate on the pandemic. ,2020-10-29
110,Deborah Birx cedes White House turf to Scott Atlas while hitting the road to spread her public health gospel - CNNPolitics,Dr. Deborah Birx emerged from a meeting at the White House one day in late summer with a new resolution: Never again would she sit in a meeting with Dr. Scott Atlas and listen to him pontificate on the pandemic. ,2020-10-29
111,CNN TO PROVIDE EXPANSIVE ELECTION NIGHT IN AMERICA COVERAGE,"On November 3, CNN will provide viewers with comprehensive coverage and up-to-the-minute election results from this unprecedented presidential race and key state races across the country.",2020-10-29
112,Homeland Security officials echo Trump's campaign border wall rhetoric days before election - CNNPolitics,"Acting Homeland Security Secretary Chad Wolf, flanked by several senior department officials, hyped the administration's efforts to construct hundreds of miles of wall along the US-Mexico border while lavishing praise on President Donald Trump less than a week before Election Day. ",2020-10-29
113,Pelosi says she hopes for stimulus deal in lame duck  - CNNPolitics,"House Speaker Nancy Pelosi is eying the congressional lame duck session after the election as a chance for lawmakers to pass a new coronavirus relief package, even as talks for another round of aid have faltered in recent days.",2020-10-29
114,Deborah Birx cedes White House turf to Scott Atlas while hitting the road to spread her public health gospel - CNNPolitics,Dr. Deborah Birx emerged from a meeting at the White House one day in late summer with a new resolution: Never again would she sit in a meeting with Dr. Scott Atlas and listen to him pontificate on the pandemic. ,2020-10-29
115,Race to 270: How Latino voters could sway the 2020 US presidential election - CNN Video,CNN's John King takes a closer look at the 2020 US election trajectory by breaking down the way President Donald Trump and Democratic presidential nominee Joe Biden are performing in the polls. ,2020-10-29
116,CNN analyst explains why hospitals and voter databases are vulnerable to hackers - CNN Video,"Hackers are targeting hospitals, health care providers and voter databases in what cybersecurity experts believe to be a massive attack. CNN's Brianna Keilar speaks with CNN law enforcement analyst Anthony Ferrante about the implications of this happening not only in the middle of a pandemic, but also days before the election.",2020-10-29
117,Harry Styles sounds like an ideal housesitter - CNN,Only in 2020 would your favorite musician hang out at your house but you're not there to experience it.,2020-10-29
118,Virginia governor praises ruling on removing Robert E. Lee statue - CNNPolitics,"Virginia Gov. Ralph Northam on Wednesday praised a ruling this week that affirmed his power to remove the statue of Confederate Gen. Robert E. Lee on Richmond's Monument Avenue, saying the decision brings the city ""into the 21st century.""",2020-10-29
119,Vermont secretary of state formally asks Kavanaugh to correct opinion - CNNPolitics,Vermont's secretary of state formally asked Supreme Court Justice Brett Kavanaugh to correct an opinion he wrote Monday that mistakenly said Vermont had made no changes to its election rules due to the Covid-19 pandemic.,2020-10-29
120,Early voting: More than a third of registered voters have already voted - CNNPolitics,"More than a third of registered voters -- 74 million Americans -- have already voted with six days left until Election Day, an unprecedented shift driven by the coronavirus pandemic and interest in the presidential race.",2020-10-29
121,US election 2020: What India thinks of the US election (opinion) - CNN,"Narendra Modi has gone out of his way to woo Donald Trump in order to soften the hard edges of his trade and immigration policies, writes Pramit Pal Chaudhuri. But that doesn't mean the Indian prime minister will be disappointed if Trump loses the White House.  ",2020-10-29
